Name,Description,Type,T1D,T1B,T2D,T2B,T3D,T3B,T4D,T4B,T5D,T5B,T6D,T6B
Assassin's Vigour,Grants Health after breaking a Behemoth part,Defence,Heal 50 when you break a part,{'PartBreakHP': 50},Heal 100 when you break a part,{'PartBreakHP': 100},Heal 150 when you break a part,{'PartBreakHP': 150},Heal 200 when you break a part,{'PartBreakHP': 200},Heal 250 when you break a part,{'PartBreakHP': 250},Heal 300 when you break a part,{'PartBreakHP': 300}
Bloodless,Protects against Wounded and Crippling Wounds statuses.,Defence,Reduces duration of Wounded status by 50%,{'WoundResist': 50},Reduces duration of Wounded status by 80%,{'WoundResist': 80},Immune to Wounded status,{'WoundResist': 100},"Reduces effectiveness of Crippling Wounded status by 50%
Immune to Wounded status","{'WoundResist': 100, 'CripplingWoundResist': 50}","Reduces effectiveness of Crippling Wounded status by 80%
Immune to Wounded status","{'WoundResist': 100, 'CripplingWoundResist': 80}",Immune to Wounded statusImmune to Crippling Wound status,"{'WoundResist': 100, 'CripplingWoundResist': 100}"
Fireproof,Protects against being set on fire.,Defence,Reduces duration of On Fire status by 10%,{'BurningResist': 10},Reduces duration of On Fire status by 20%,{'BurningResist': 20},Reduces duration of On Fire status by 40%,{'BurningResist': 40},Reduces duration of On Fire status by 60%,{'BurningResist': 60},Reduces duration of On Fire status by 80%,{'BurningResist': 80},Immune to being set on fire.,{'BurningResist': 100}
Fortress,Grants a small shield after avoiding damage for a short time.,Defence,Grants a 10 health shield after not getting hit for 10s,{'Shield': 10},Grants a 20 health shield after not getting hit for 10s,{'Shield': 20},Grants a 40 health shield after not getting hit for 10s,{'Shield': 40},Grants a 60 health shield after not getting hit for 10s,{'Shield': 60},Grants a 80 health shield after not getting hit for 10s,{'Shield': 80},Grants a 100 health shield after not getting hit for 10s,{'Shield': 100}
Guardian,Grants a portion of any shield applied to you to your nearest ally.,Defence,+10% of any shield applied to you is also applied to your nearest ally for 15s,{'ShieldShare': 10},+20% of any shield applied to you is also applied to your nearest ally for 15s,{'ShieldShare': 20},+30% of any shield applied to you is also applied to your nearest ally for 15s,{'ShieldShare': 30},+40% of any shield applied to you is also applied to your nearest ally for 15s,{'ShieldShare': 40},+50% of any shield applied to you is also applied to your nearest ally for 15s,{'ShieldShare': 50},+60% of any shield applied to you is also applied to your nearest ally for 15s,{'ShieldShare': 60}
Iceborne,"Increases Defense when at low health, and at later ranks, grants life steal",Defence,"When under 50% health, grants +5% decreased damage taken",{'Mitigation': 5},"When under 50% health, grants +10% decreased damage taken",{'Mitigation': 10},"When under 50% health, grants +15% decreased damage taken",{'Mitigation': 15},"When under 50% health, grants +20% decreased damage taken
While Iceborne is active, grants 4% lifesteal that cannot heal beyond 50% health","{'Mitigation': 20, 'Lifesteal': 4}","When under 50% health, grants +25% decreased damage taken
While Iceborne is active, grants 6% lifesteal that cannot heal beyond 50% health","{'Mitigation': 25, 'Lifesteal': 6}","When under 50% health, grants +30% decreased damage taken
While Iceborne is active, grants 8% lifesteal that cannot heal beyond 50% health","{'Mitigation': 30, 'Lifesteal': 8}"
Insulated,Protects against Shocked status effect and allows you to attack electric shields.,Defence,Reduces duration of Shocked status by 25%,{'ShockResist': 25},Reduces duration of Shocked status by 50%,{'ShockResist': 50},Reduces duration of Shocked status by 75%,{'ShockResist': 75},"Reduces duration of Shocked status by 75%
Reduces knockback and damage of hitting electrified shields.","{'ShockResist': 75, 'ShockbackResist': 50}","Reduces duration of Shocked status by 75%
Prevents knockback and damage of hitting electrified shields.","{'ShockResist': 75, 'ShockbackResist': 100}","Immune to Shocked status
Prevents knockback and damage of hitting electrified shields.","{'ShockResist': 100, 'ShockbackResist': 100}"
Nine Lives,"Grants a chance to reduce damage, and later the ability to cheat death.",Defence,+5% chance to halve incoming damage,{'Lucky': 5},+8% chance to halve incoming damage,{'Lucky': 8},+12% chance to halve incoming damage,{'Lucky': 12},"+12% chance to halve incoming damage
The first time you would be knocked out, stay up and heal for 400","{'Lucky': 12, 'CheatDeath': 400}","+16% chance to halve incoming damage
The first time you would be knocked out, stay up and heal for 400","{'Lucky': 16, 'CheatDeath': 400}","+20% chance to halve incoming damage
The first time you would be knocked out, stay up and heal for 400, and become empowered for 10 seconds","{'Lucky': 20, 'CheatDeath': 400, 'Revenge': 10}"
Shellshock Resist,Protects against the explosion damage and status effect Shellshock.,Defence,Reduces Shell Shocked explosion damage and status effect duration by 10%,{'KaboomResist': 10},Reduces Shell Shocked explosion damage and status effect duration by 20%,{'KaboomResist': 20},Reduces Shell Shocked explosion damage and status effect duration by 40%,{'KaboomResist': 40},Reduces Shell Shocked explosion damage and status effect duration by 60%,{'KaboomResist': 60},Reduces Shell Shocked explosion damage and status effect duration by 80%,{'KaboomResist': 80},Immune to Shell Shocked explosion damage and status effect,{'KaboomResist': 100}
Sturdy,Prevents being staggered on a cooldown.,Defence,Prevents you from being staggered (120 second cooldown),{'WithstandCD': 120},Prevents you from being staggered (100 second cooldown),{'WithstandCD': 100},Prevents you from being staggered (80 second cooldown),{'WithstandCD': 80},Prevents you from being staggered (60 second cooldown),{'WithstandCD': 60},Prevents you from being staggered (40 second cooldown),{'WithstandCD': 40},Prevents you from being staggered (15 second cooldown),{'WithstandCD': 15}
Tough,Increases Max Health.,Defence,"Increases Max Health by 50
Increased healing from all sources by 5%","{'BonusMaxHP': 50, 'BonusHealing': 5}","Increases Max Health by 100
Increased healing from all sources by 10%","{'BonusMaxHP': 100, 'BonusHealing': 10}","Increases Max Health by 150
Increased healing from all sources by 15%","{'BonusMaxHP': 150, 'BonusHealing': 15}","Increases Max Health by 250
Increased healing from all sources by 25%","{'BonusMaxHP': 250, 'BonusHealing': 25}","Increases Max Health by 350
Increased healing from all sources by 35%","{'BonusMaxHP': 350, 'BonusHealing': 35}","Increases Max Health by 500
Increased healing from all sources by 50%","{'BonusMaxHP': 500, 'BonusHealing': 50}"
Warmth,Protects against Chilled and Frozen status effects.,Defence,Reduces duration of Frozen status by 30%,{'FrozenResist': 30},Reduces duration of Frozen status by 60%,{'FrozenResist': 60},Immune to being Frozen,{'FrozenResist': 100},"Reduces duration of Chilled status by 30%
Immune to being Frozen","{'FrozenResist': 100, 'ColdResist': 30}","Reduces duration of Chilled status by 60%
Immune to being Frozen","{'FrozenResist': 100, 'ColdResist': 60}","Immune to being Frozen
Immune to being Chilled","{'FrozenResist': 100, 'ColdResist': 100}"
Agility,Reduces the stamina cost of dodging.,Mobility,-10% Dodge Roll Stamina Cost,{'DodgeEfficiency': 10},-20% Dodge Roll Stamina Cost,{'DodgeEfficiency': 20},-30% Dodge Roll Stamina Cost,{'DodgeEfficiency': 30},-40% Dodge Roll Stamina Cost,{'DodgeEfficiency': 40},-55% Dodge Roll Stamina Cost,{'DodgeEfficiency': 55},-70% Dodge Roll Stamina Cost,{'DodgeEfficiency': 70}
Conditioning,Increases Stamina Regen.,Mobility,+5 Stamina Regeneration,{'StaminaRegen': 5},+10 Stamina Regeneration,{'StaminaRegen': 10},+15 Stamina Regeneration,{'StaminaRegen': 15},+20 Stamina Regeneration,{'StaminaRegen': 20},+25 Stamina Regeneration,{'StaminaRegen': 25},+30 Stamina Regeneration,{'StaminaRegen': 30}
Endurance,Increases Max Stamina.,Mobility,Increases Max Stamina by 10,{'BonusMaxStam': 10},Increases Max Stamina by 20,{'BonusMaxStam': 20},Increases Max Stamina by 40,{'BonusMaxStam': 40},Increases Max Stamina by 60,{'BonusMaxStam': 60},Increases Max Stamina by 80,{'BonusMaxStam': 80},Increases Max Stamina by 100,{'BonusMaxStam': 100}
Evasion,Increases the time you are invincible when dodging.,Mobility,Increases Dodge invulnerability windows by 7%,{'BonusIFrame': 7},Increases Dodge invulnerability windows by 14%,{'BonusIFrame': 14},Increases Dodge invulnerability windows by 21%,{'BonusIFrame': 21},Increases Dodge invulnerability windows by 28%,{'BonusIFrame': 28},Increases Dodge invulnerability windows by 35%,{'BonusIFrame': 35},Increases Dodge invulnerability windows by 42%,{'BonusIFrame': 42}
Fleet Footed,Temporarily increases Movement Speed after a dodge.,Mobility,"Following a Dodge, Movement Speed is temporary increased by 10%",{'DodgeMoveSpeed': '10'},"Following a Dodge, Movement Speed is temporary increased by 10%",{'DodgeMoveSpeed': '10'},"Following a Dodge, Movement Speed is temporary increased by 10%",{'DodgeMoveSpeed': '10'},"Following a Dodge, Movement Speed is temporary increased by 10%",{'DodgeMoveSpeed': '10'},"Following a Dodge, Movement Speed is temporary increased by 10%",{'DodgeMoveSpeed': '10'},"Following a Dodge, Movement Speed is temporary increased by 10%",{'DodgeMoveSpeed': '10'}
Nimble,Restores Stamina when dodging through behemoth attacks.,Mobility,Gain 10 stamina after dodging through an attack.,{'Dodge Stamina': 10},Gain 15 stamina after dodging through an attack.,{'Dodge Stamina': 15},Gain 20 stamina after dodging through an attack.,{'Dodge Stamina': 20},Gain 25 stamina after dodging through an attack.,{'Dodge Stamina': 25},Gain 30 stamina after dodging through an attack.,{'Dodge Stamina': 30},Gain 35 stamina after dodging through an attack.,{'Dodge Stamina': 35}
Swift,Increases Movement Speed when your weapon is sheathed.,Mobility,"While sheathed, increases Movement Speed by 5%",{'SheathMoveSpeed': 5},"While sheathed, increases Movement Speed by 10%",{'SheathMoveSpeed': 10},"While sheathed, increases Movement Speed by 15%",{'SheathMoveSpeed': 15},"While sheathed, increases Movement Speed by 20%",{'SheathMoveSpeed': 20},"While sheathed, increases Movement Speed by 25%",{'SheathMoveSpeed': 25},"While sheathed, increases Movement Speed by 30%","{'SheathMoveSpeed': 30, 'AoeSheathMoveSpeed': 30}"
Aetherhunter,Increases damage against aether charged Behemoths.,Power,+5% Damage vs Aether-charged Behemoths,{'AetherDamageBonus': 5},+1% Damage vs Aether-charged Behemoths,{'AetherDamageBonus': 10},+20% Damage vs Aether-charged Behemoths,{'AetherDamageBonus': 20},+30% Damage vs Aether-charged Behemoths,{'AetherDamageBonus': 30},+40% Damage vs Aether-charged Behemoths,{'AetherDamageBonus': 40},+50% Damage vs Aether-charged Behemoths,{'AetherDamageBonus': 50}
Deconstruction,Bonus damage against objects created by Behemoths.,Power,Deal 110% damage to objects created by Behemoths,{'BonusMobDamage': 10},Deal 120% damage to objects created by Behemoths,{'BonusMobDamage': 20},Deal 130% damage to objects created by Behemoths,{'BonusMobDamage': 30},Deal 150% damage to objects created by Behemoths,{'BonusMobDamage': 50},Deal 170% damage to objects created by Behemoths,{'BonusMobDamage': 70},Deal 200% damage to objects created by Behemoths,{'BonusMobDamage': 100}
Knockout King,Percent increase to Stagger damage.,Power,5% Stagger Damage,{'StaggerMult': 105},10% Stagger Damage,{'StaggerMult': 110},15% Stagger Damage,{'StaggerMult': 115},"20% Stagger Damage
Following a Perfect Dodge, the next weapon attack's Stagger is increased by 50%","{'StaggerMult': 120, 'DodgeStaggerBonus': 50}","25% Stagger Damage
Following a Perfect Dodge, the next weapon attack's Stagger is increased by 50%","{'StaggerMult': 125, 'DodgeStaggerBonus': 50}","30% Stagger Damage
Following a Perfect Dodge, the next weapon attack's Stagger is increased by 100%","{'StaggerMult': 130, 'DodgeStaggerBonus': 100}"
Overpower,Increases damage against staggered Behemoths.,Power,+15% damage vs staggered Behemoths,{'StaggeredBonusDamage': 15},+20% damage vs staggered Behemoths,{'StaggeredBonusDamage': 20},+25% damage vs staggered Behemoths,{'StaggeredBonusDamage': 25},+40% damage vs staggered Behemoths,{'StaggeredBonusDamage': 40},+55% damage vs staggered Behemoths,{'StaggeredBonusDamage': 55},+70% damage vs staggered Behemoths,{'StaggeredBonusDamage': 70}
Pacifier,Increases Stagger damage against enraged Behemoths.,Power,+10% stagger vs enraged Behemoths,{'EnragedStaggerBonus': 10},+20% stagger vs enraged Behemoths,{'EnragedStaggerBonus': 20},+30% stagger vs enraged Behemoths,{'EnragedStaggerBonus': 30},+40% stagger vs enraged Behemoths,{'EnragedStaggerBonus': 40},+50% stagger vs enraged Behemoths,{'EnragedStaggerBonus': 50},+60% stagger vs enraged Behemoths,{'EnragedStaggerBonus': 60}
Rage,Increases your damage when your health is low.,Power,"When under 30% health, deal +5% damage","{'RageThreshold': 30, 'RageBonus': 5}","When under 30% health, deal +8% damage","{'RageThreshold': 30, 'RageBonus': 8}","When under 30% health, deal +10% damage","{'RageThreshold': 30, 'RageBonus': 10}","When under 30% health, deal +15% damage","{'RageThreshold': 50, 'RageBonus': 15}","When under 30% health, deal +20% damage","{'RageThreshold': 50, 'RageBonus': 20}","When under 50% health, deal +25% damage","{'RageThreshold': 50, 'RageBonus': 25}"
Ragehunter,Increases damage against enraged Behemoths.,Power,+5% Damage vs Enraged Behemoths,{'EnragedDamageBonus': 5},+10% Damage vs Enraged Behemoths,{'EnragedDamageBonus': 10},+15% Damage vs Enraged Behemoths,{'EnragedDamageBonus': 15},+20% Damage vs Enraged Behemoths,{'EnragedDamageBonus': 20},+30% Damage vs Enraged Behemoths,{'EnragedDamageBonus': 30},+40% Damage vs Enraged Behemoths,{'EnragedDamageBonus': 40}
Sharpened,Percent increase to part damage.,Power,+5% Part Damage,{'PartMult': 5},+10% Part Damage,{'PartMult': 10},+15% Part Damage,{'PartMult': 15},"+20% Part Damage
Following a Perfect Dodge, the next weapon attack's Part Break Damage is increased by 50%","{'PartMult': 20, 'DodgePartBonus': 50}","+25% Part Damage
Following a Perfect Dodge, the next weapon attack's Part Break Damage is increased by 50%","{'PartMult': 25, 'DodgePartBonus': 50}","+30% Part Damage
Following a Perfect Dodge, the next weapon attack's Part Break Damage is increased by 100%","{'PartMult': 30, 'DodgePartBonus': 100}"
Acidic,Increases Wound damage at the cost of Part damage.,Technique,Converts 30% of Part Damage to Wound Damage,"{'PartDamageDown': 30, 'WoundDamageUp': 30}",Converts $0% of Part Damage to Wound Damage,"{'PartDamageDown': 40, 'WoundDamageUp': 40}",Converts 50% of Part Damage to Wound Damage,"{'PartDamageDown': 50, 'WoundDamageUp': 50}","Converts 50% of Part Damage to Wound Damage
+10% Part damage","{'PartDamageDown': 50, 'WoundDamageUp': 50, 'FlatPartDamage': 10}","Converts 50% of Part Damage to Wound Damage
+15% Part damage","{'PartDamageDown': 50, 'WoundDamageUp': 50, 'FlatPartDamage': 15}","Converts 50% of Part Damage to Wound Damage
+20% Part damage","{'PartDamageDown': 50, 'WoundDamageUp': 50, 'FlatPartDamage': 20}"
Adrenaline,Increases damage dealt based on stamina spent.,Technique,Grants 0.3% increased damage for every 10 stamina missing.,"{'AdrenalineThreshold': 10, 'AdrenalineMult': 0.3}",Grants 0.6% increased damage for every 10 stamina missing.,"{'AdrenalineThreshold': 10, 'AdrenalineMult': 0.6}",Grants 0.9% increased damage for every 10 stamina missing.,"{'AdrenalineThreshold': 10, 'AdrenalineMult': 0.9}",Grants 1.2% increased damage for every 10 stamina missing.,"{'AdrenalineThreshold': 10, 'AdrenalineMult': 1.2}",Grants 1.5% increased damage for every 10 stamina missing.,"{'AdrenalineThreshold': 10, 'AdrenalineMult': 1.5}",Grants 1.8% increased damage for every 10 stamina missing.,"{'AdrenalineThreshold': 10, 'AdrenalineMult': 1.8}"
Barbed,Adds a flat amount of Wound damage on hit.,Technique,+5 wound damage on hit.,{'FlatWoundDamage': 5},+10 wound damage on hit.,{'FlatWoundDamage': 10},+15 wound damage on hit.,{'FlatWoundDamage': 15},"+20 wound damage on hit.
After dodging through an attack, the next attack's expose damage is increased by 200","{'FlatWoundDamage': 20, 'DodgeWoundFlat': 200}","+30 wound damage on hit.
After dodging through an attack, the next attack's expose damage is increased by 300","{'FlatWoundDamage': 30, 'DodgeWoundFlat': 200}","+40 wound damage on hit.
After dodging through an attack, the next attack's expose damage is increased by 400","{'FlatWoundDamage': 40, 'DodgeWoundFlat': 400}"
Bladestorm,Adds a flat amount of Part damage on hit.,Technique,+5 Part Damage on Hit,{'FlatPartDamage': 5},+10 part damage on hit.,{'FlatPartDamage': 10},+15 part damage on hit.,{'FlatPartDamage': 15},"+20 Part Damage on Hit
+200 Part Damage after a Perfect Dodge","{'FlatPartDamage': 20, 'DodgePartFlat': 200}","+30 Part Damage on Hit
+200 Part Damage after a Perfect Dodge","{'FlatPartDamage': 30, 'DodgePartFlat': 200}","+40 Part Damage on Hit
+400 Part Damage after a Perfect Dodge","{'FlatPartDamage': 40, 'DodgePartFlat': 400}"
Cunning,Grants a chance to deal double damage.,Technique,2% critical strike chance,{'CritBonus': 2},4% critical strike chance,{'CritBonus': 4},6% critical strike chance,{'CritBonus': 6},9% critical strike chance,{'CritBonus': 9},12% critical strike chance,{'CritBonus': 12},15% critical strike chance,{'CritBonus': 15}
Evasive Fury,Temporarily increases attack speed when dodging through a Behemoth's attack.,Technique,+4% Attack Speed for 8 seconds after dodging through an attack.,{'DodgeAttackSpeed': 4},+8% Attack Speed for 8 seconds after dodging through an attack.,{'DodgeAttackSpeed': 8},+12% Attack Speed for 8 seconds after dodging through an attack.,{'DodgeAttackSpeed': 12},+16% Attack Speed for 8 seconds after dodging through an attack.,{'DodgeAttackSpeed': 16},+20% Attack Speed for 8 seconds after dodging through an attack.,{'DodgeAttackSpeed': 20},+25% Attack Speed for 8 seconds after dodging through an attack.,{'DodgeAttackSpeed': 25}
Merciless,Increases Wound damage against staggered Behemoths.,Technique,+25 Wound Damage vs Staggered Behemoths,{'StaggerWoundMult': 25},+40 Wound Damage vs Staggered Behemoths,{'StaggerWoundMult': 40},+55 Wound Damage vs Staggered Behemoths,{'StaggerWoundMult': 55},+70 Wound Damage vs Staggered Behemoths,{'StaggerWoundMult': 70},+85 Wound Damage vs Staggered Behemoths,{'StaggerWoundMult': 85},+100 Wound Damage vs Staggered Behemoths,{'StaggerWoundMult': 100}
Molten,Grants Molten Heart drops on cooldown.,Technique,Dealing damage generates a Molten Heart on a 26 second cooldown.,"{'HeartDrops': 1, 'HeartCooldown': 26}",Dealing damage generates a Molten Heart on a 23 second cooldown.,"{'HeartDrops': 1, 'HeartCooldown': 23}",Dealing damage generates two Molten Hearts on a 23 second cooldown.,"{'HeartDrops': 2, 'HeartCooldown': 23}",Dealing damage generates two Molten Hearts on a 20 second cooldown.,"{'HeartDrops': 2, 'HeartCooldown': 20}",Dealing damage generates three Molten Hearts on a 20 second cooldown.,"{'HeartDrops': 3, 'HeartCooldown': 20}",Dealing damage generates three Molten Hearts on a 16 second cooldown.,"{'HeartDrops': 3, 'HeartCooldown': 16}"
Predator,Increases damage after avoiding damage for a short time.,Technique,Deal 104% damage after not getting hit for 15 seconds. Bonus removed when hit.,{'FlawlessDamage': 4},Deal 108% damage after not getting hit for 15 seconds. Bonus removed when hit.,{'FlawlessDamage': 8},Deal 114% damage after not getting hit for 15 seconds. Bonus removed when hit.,{'FlawlessDamage': 14},Deal 120% damage after not getting hit for 15 seconds. Bonus removed when hit.,{'FlawlessDamage': 20},Deal 127% damage after not getting hit for 15 seconds. Bonus removed when hit.,{'FlawlessDamage': 27},Deal 135% damage after not getting hit for 15 seconds. Bonus removed when hit.,{'FlawlessDamage': 35}
Savagery,Increases damage against Wounded parts.,Technique,+20% Damage vs Wounded Parts,{'WoundedDamageMult': 20},+30% Damage vs Wounded Parts,{'WoundedDamageMult': 30},+40% Damage vs Wounded Parts,{'WoundedDamageMult': 40},+60% Damage vs Wounded Parts,{'WoundedDamageMult': 60},+80% Damage vs Wounded Parts,{'WoundedDamageMult': 80},+100% Damage vs Wounded Parts,{'WoundedDamageMult': 100}
Weighted Strikes,"Adds a flat amount of Stagger damage on hit. At later ranks, allows more weapon attacks to interrupt.",Technique,+5 Stagger Damage on Hit.,{'FlatStaggerDamage': 5},+10 Stagger Damage on Hit.,{'FlatStaggerDamage': 10},+15 Stagger Damage on Hit.,{'FlatStaggerDamage': 15},"+20 Stagger Damage on Hit
+200 Stagger after a Perfect Dodge","{'FlatStaggerDamage': 20, 'DodgeStaggerFlat': 200}","30 Stagger Damage on Hit
+200 Stagger after a Perfect Dodge","{'FlatStaggerDamage': 30, 'DodgeStaggerFlat': 200}","+40 Stagger Damage on Hit
+400 Stagger after a Perfect Dodge
Ranged swings and missiles interrupt unstable Behemoth attacks","{'FlatStaggerDamage': 40, 'DodgeStaggerFlat': 400, 'Boop': 1000}"
Wild Frenzy,Increases Attack Speed when at low health.,Technique,"When under 30% health, increase attack speed by 5%","{'FrenzyThreshold': 30, 'FrenzyBonus': 5}","When under 30% health, increase attack speed by 8%","{'FrenzyThreshold': 30, 'FrenzyBonus': 8}","When under 30% health, increase attack speed by 12%","{'FrenzyThreshold': 30, 'FrenzyBonus': 12}","When under 50% health, increase attack speed by 16%","{'FrenzyThreshold': 50, 'FrenzyBonus': 16}","When under 50% health, increase attack speed by 20%","{'FrenzyThreshold': 50, 'FrenzyBonus': 20}","When under 50% health, increase attack speed by 25%","{'FrenzyThreshold': 50, 'FrenzyBonus': 25}"
Aetherborne,Increases the benefits of using aether vents.,Utility,25% chance not to consume an Aether Vent charge on use. 25 additional Aether Vent healing.,"{'VentLuck': 25, 'VentHealBonus': 25}",25% chance not to consume an Aether Vent charge on use. 50 additional Aether Vent healing.,"{'VentLuck': 25, 'VentHealBonus': 50}",25% chance not to consume an Aether Vent charge on use. 75 additional Aether Vent healing.,"{'VentLuck': 25, 'VentHealBonus': 75}",25% chance not to consume an Aether Vent charge on use. 100 additional Aether Vent healing.,"{'VentLuck': 25, 'VentHealBonus': 100}",25% chance not to consume an Aether Vent charge on use. 150 additional Aether Vent healing.,"{'VentLuck': 25, 'VentHealBonus': 150}",25% chance not to consume an Aether Vent charge on use. 200 additional Aether Vent healing.,"{'VentLuck': 25, 'VentHealBonus': 200}"
Aetheric Attunement,Percent increase to Lantern Charge gained from attacks.,Utility,+10% Lantern Charge,"{'BonusCharge': 10, 'BonusTapCD': 10}",+15% Lantern Charge,"{'BonusCharge': 15, 'BonusTapCD': 15}",+20% Lantern Charge,"{'BonusCharge': 20, 'BonusTapCD': 20}",+30% Lantern Charge,"{'BonusCharge': 30, 'BonusTapCD': 30}",+40% Lantern Charge,"{'BonusCharge': 40, 'BonusTapCD': 40}",+50% Lantern Charge,"{'BonusCharge': 50, 'BonusTapCD': 50}"
Aetheric Frenzy,Gains a flat amount of Lantern Charge on each weapon hit.,Utility,+3.0 Lantern Charge on Hit,{'FlatCharge': 3},+4.0 Lantern Charge on Hit,{'FlatCharge': 4},+5.0 Lantern Charge on Hit,{'FlatCharge': 5},+7.5 Lantern Charge on Hit,{'FlatCharge': 7.5},+10.0 Lantern Charge on Hit,{'FlatCharge': 10},+12.5 Lantern Charge on Hit,{'FlatCharge': 12.5}
Conduit,Lantern hold ability grants all Slayers' attack speed temporarily,Utility,Using your lantern hold ability grants 5% attack speed to all Slayers for 8 seconds.,{'PartyAtkSpeedBonus': 5},Using your lantern hold ability grants 7% attack speed to all Slayers for 8 seconds.,{'PartyAtkSpeedBonus': 7},Using your lantern hold ability grants 10% attack speed to all Slayers for 8 seconds.,{'PartyAtkSpeedBonus': 10},Using your lantern hold ability grants 14% attack speed to all Slayers for 8 seconds.,{'PartyAtkSpeedBonus': 14},Using your lantern hold ability grants 19% attack speed to all Slayers for 8 seconds.,{'PartyAtkSpeedBonus': 19},Using your lantern hold ability grants 25% attack speed to all Slayers for 8 seconds.,{'PartyAtkSpeedBonus': 25}
Energized,Increases weapon meter gain rate.,Utility,+10% Weapon Charge rate,{'MeterChargeBonus': 10},+15% Weapon Charge rate,{'MeterChargeBonus': 15},+20% Weapon Charge rate,{'MeterChargeBonus': 20},+25% Weapon Charge rate,{'MeterChargeBonus': 25},+30% Weapon Charge rate,{'MeterChargeBonus': 30},+40% Weapon Charge rate,{'MeterChargeBonus': 40}
Lucent,Flask heals over time and generates lantern charge,Utility,"Your Flask heals over 20 seconds, but for 20% increased healing. While this heal is active, generate 8 Lantern Charge each second.","{'FlaskType': 'Regen', 'ChargePerSecond': 8}","Your Flask heals over 20 seconds, but for 20% increased healing. While this heal is active, generate 16 Lantern Charge each second.","{'FlaskType': 'Regen', 'ChargePerSecond': 16}","Your Flask heals over 20 seconds, but for 20% increased healing. While this heal is active, generate 25 Lantern Charge each second.","{'FlaskType': 'Regen', 'ChargePerSecond': 25}","Your Flask heals over 20 seconds, but for 20% increased healing. While this heal is active, generate 8 Lantern Charge each second.","{'FlaskType': 'Regen', 'ChargePerSecond': 37.5}","Your Flask heals over 20 seconds, but for 20% increased healing. While this heal is active, generate 50 Lantern Charge each second.","{'FlaskType': 'Regen', 'ChargePerSecond': 50}","Your Flask heals over 20 seconds, but for 20% increased healing. While this heal is active, generate 75 Lantern Charge each second.","{'FlaskType': 'Regen', 'ChargePerSecond': 75}"
Medic,Improves your ability to revive allies.,Utility,"When reviving an ally, they are healed an additional 5%",{'ReviveHP': 5},"When reviving an ally, they are healed an additional 10%",{'ReviveHP': 10},"When reviving an ally, they are healed an additional 20%",{'ReviveHP': 20},"When reviving an ally, they are healed an additional 20%
Increases Revive Speed by 66%","{'ReviveHP': 20, 'ReviveSpeedBonus': 66}","When reviving an ally, they are healed an additional 30%
Increases Revive Speed by 66%","{'ReviveHP': 30, 'ReviveSpeedBonus': 66}","When reviving an ally, they are healed an additional 40%
Increases Revive Speed by 66%
Grants a 300 health shield for 20 seconds after reviving an ally.","{'ReviveHP': 40, 'ReviveSpeedBonus': 66, 'ReviveShield': 300}"
Stunning Vigour,Restores some health whenever a Behemoth is staggered.,Utility,Heal for 50 whenever a Behemoth is Staggered,{'StaggerHeal': 50},Heal for 75 whenever a Behemoth is Staggered,{'StaggerHeal': 75},Heal for 100 whenever a Behemoth is Staggered,{'StaggerHeal': 100},Heal for 1250 whenever a Behemoth is Staggered,{'StaggerHeal': 125},Heal for 150 whenever a Behemoth is Staggered,{'StaggerHeal': 150},Heal for 200 whenever a Behemoth is Staggered,{'StaggerHeal': 200}
Vampiric,Restores some health whenever a Behemoth is wounded.,Utility,Heal for 50 whenever a Behemoth is Wounded,{'StaggerHeal': 50},Heal for 75 whenever a Behemoth is Wounded,{'StaggerHeal': 75},Heal for 100 whenever a Behemoth is Wounded,{'StaggerHeal': 100},Heal for 1250 whenever a Behemoth is Wounded,{'StaggerHeal': 125},Heal for 150 whenever a Behemoth is Wounded,{'StaggerHeal': 150},Heal for 200 whenever a Behemoth is Wounded,{'StaggerHeal': 200}
